model,accuracy,precision,recall,f1,auc,experiment
DecisionTree,0.9405052974735126,0.9299363057324841,0.9526916802610114,0.9411764705882353,0.9405152212379975,no_fs
KNN,0.9421352893235534,0.9516666666666667,0.9314845024469821,0.9414674361088211,0.9824380549548066,no_fs
SVM,0.9307253463732681,0.9567474048442907,0.9021207177814029,0.9286314021830394,0.9750997656636076,no_fs
NaiveBayes,0.6992665036674817,0.988,0.4029363784665579,0.5724217844727694,0.9223289105217571,no_fs
LogisticRegression,0.9193154034229829,0.9385665529010239,0.8972267536704731,0.9174311926605505,0.9686063626847192,no_fs
RandomForest,0.9657701711491442,0.9688013136288999,0.9624796084828712,0.9656301145662848,0.9951379183914215,no_fs
AdaCost,0.928280358598207,0.9581151832460733,0.8955954323001631,0.9258010118043845,0.977000759866306,no_fs
DecisionTree,0.8997555012224939,0.8977272727272727,0.9021207177814029,0.8999186330349878,0.9148232380932138,with_fs
KNN,0.9152404237978811,0.9234608985024958,0.9053833605220228,0.914332784184514,0.9566902774309081,with_fs
SVM,0.8834555827220864,0.9519230769230769,0.8075040783034257,0.8737864077669902,0.950651200110526,with_fs
NaiveBayes,0.6813365933170334,0.9625,0.3768352365415987,0.5416178194607268,0.9161915288191252,with_fs
LogisticRegression,0.863080684596577,0.9052823315118397,0.8107667210440457,0.8554216867469879,0.9342396820251766,with_fs
RandomForest,0.947840260798696,0.9552238805970149,0.9396411092985318,0.9473684210526315,0.988119782561334,with_fs
AdaCost,0.8932355338223309,0.9397810218978102,0.8401305057096248,0.8871662360034454,0.9565972867990498,with_fs
